fishid,date,station,survey,lat,long,ec,sal,secchi,temp
2011_FMWT_1108,9/8/2011,413,FMWT,38.06595,-122.0473,7380,4.061354978,0.379999995,20
2011_FMWT_1221,9/13/2011,515,FMWT,38.092,-122.01472,6220,3.382533762,0.389999986,19.39999962
2011_FMWT_1222,9/13/2011,515,FMWT,38.092,-122.01472,6220,3.382533762,0.389999986,19.39999962
2011_FMWT_1256,9/13/2011,518,FMWT,38.06875,-121.96802,2140,1.092283981,0.209999993,19.89999962
2011_FMWT_1260,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1261,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1263,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1264,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1314,9/13/2011,512,FMWT,38.05638,-121.87722,440,0.213635029,0.409999996,20.89999962
2011_FMWT_1502,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1503,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1504,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1577,9/14/2011,715,FMWT,38.22295,-121.67362,173,0.085691867,0.519999981,21.20000076
2011_FMWT_1610,9/14/2011,715,FMWT,38.22295,-121.67362,173,0.085691867,0.519999981,21.20000076
2011_FMWT_2373,10/7/2011,509,FMWT,38.04547,-121.90412,377,0.183017994,0.569999993,18.20000076
2011_FMWT_2384,10/7/2011,508,FMWT,38.04813,-121.91492,490,0.238097203,0.460000008,18.29999924
2011_FMWT_2392,10/7/2011,507,FMWT,38.05228,-121.939,576,0.280479011,0.330000013,18.79999924
2011_FMWT_2397,10/7/2011,507,FMWT,38.05228,-121.939,576,0.280479011,0.330000013,18.79999924
2011_FMWT_2610,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2611,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2612,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2831,11/14/2011,517,FMWT,38.07022,-121.97938,10820,6.125747778,0.670000017,13.5
